LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,TOOLTIP,SOURCE,SOURCE URL,SIDEBAR1,SIDEBAR2,SIDEBAR3,1396,MORE INFO,LEVEL
متفرقه,هزینه‌های پیش‌بینی نشده,هزینه‌های پیش‌بینی نشده,,,هزینه‌های پیش بینی نشده - کمک,ردیف شماره 510000 - 1 از جدول شماره ۹,,50.000,0.000,0.000,50.000,,3
متفرقه,هزینه‌های پیش‌بینی نشده,هزینه‌‌های عمرانی پیش‌بینی نشده,,,هزینه‌های پیش بینی نشده سرمایه‌ای,ردیف شماره 510000 - 2 از جدول شماره ۹,,0.000,40.000,0.000,40.000,,3
متفرقه,هزینه‌های پیش‌بینی نشده,هزینه‌های ضروری دستگاه‌ها,,,نهاد ریاست‌جمهوری - هزینه‌های ضروری دستگاه‌های اجرایی,ردیف شماره 510000 - 3 از جدول شماره ۹,,70.000,0.000,0.000,70.000,,3
متفرقه,هزینه‌های پیش‌بینی نشده,سفرهای استانی رهبری,,,اعتبار طرح‌های مربوط به تعهدات سفرهای مقام رهبری,ردیف شماره 510000 - 4 از جدول شماره ۹,,0.000,"1,000.000",0.000,"1,000.000",,3
متفرقه,هزینه‌های پیش‌بینی نشده,سفرهای استانی رییس‌جمهور,,,اعتبار طرح‌های مربوط به سفرهای رییس جمهور,ردیف شماره 510000 - 5 از جدول شماره ۹,,0.000,64.000,0.000,64.000,,3
متفرقه,هزینه‌های پیش‌بینی نشده,,,,اعتبارات خاص و پیش‌بینی نشده,ردیف شماره 510000 از جدول شماره ۹,,120.000,104.000,0.000,"1,224.000",,2
متفرقه,اعتبارات یارانه‌ها,,,,اعتبارات یارانه‌ها,ردیف شماره 520000 از جدول شماره ۹,,"15,190.000","1,388.000",0.000,"16,578.000",,2
متفرقه,اعتبارات درآمد - هزینه,,,,اعتبارات متمرکز درآمد - هزینه,ردیف شماره 530000 از جدول شماره ۹,,"12,882.462","15,224.572",0.000,"28,107.034",,2
متفرقه,نهادهای خاص,آستان قدس رضوی,,,مطالبات آستان قدس رضوی از دولت,ردیف شماره 540000 - 1 از جدول شماره ۹,,16.000,0.000,0.000,16.000,,3
متفرقه,نهادهای خاص,پرداخت به شهرداری‌ها,,,سازمان شهرداری‌ها و دهیاریهای کشور - پرداخت به شهرداری‌ها موضوع تبصره3 ماده41 قانون مالیات بر ارزش افزوده و خرید ماشین آلات,ردیف شماره 540000 - 2 از جدول شماره ۹,,80.000,203.025,0.000,283.025,,3
متفرقه,نهادهای خاص,کمک به نهادهای خاص,سازمان تبلیغات اسلامی,بنیاد دعبل خزاعی,جدول شماره ۱۷ - بنیاد دعبل خزاعی,ردیف شماره 540000 - 3 - 1 - 1 از جدول شماره ۱۷,,7.430,0.000,0.000,7.430,,5
متفرقه,نهادهای خاص,کمک به نهادهای خاص,سازمان تبلیغات اسلامی,موسسه مدارس معارف اسلامی صدرای نور,جدول شماره ۱۷ - موسسه مدارس معارف اسلامی صدرای نور,ردیف شماره 540000 - 3 - 1 - 2 از جدول شماره ۱۷,,2.888,0.000,0.000,2.888,,5
متفرقه,نهادهای خاص,کمک به نهادهای خاص,سازمان تبلیغات اسلامی,موسسه تسنیم نور,جدول شماره ۱۷ - موسسه تسنیم نور,ردیف شماره 540000 - 3 - 1 - 3 از جدول شماره ۱۷,,1.733,0.000,0.000,1.733,,5
متفرقه,نهادهای خاص,کمک به نهادهای خاص,سازمان تبلیغات اسلامی,پژوهشکده باقرالعلوم,جدول شماره ۱۷ - پژوهشکده باقرالعلوم,ردیف شماره 540000 - 3 - 1 - 4 از جدول شماره ۱۷,,1.155,0.000,0.000,1.155,,5
متفرقه,نهادهای خاص,کمک به نهادهای خاص,سازمان تبلیغات اسلامی,موسسه فرهنگی بصیرت,جدول شماره ۱۷ - موسسه فرهنگی بصیرت,ردیف شماره 540000 - 3 - 1 - 5 از جدول شماره ۱۷,,3.465,0.000,0.000,3.465,,5
متفرقه,نهادهای خاص,کمک به نهادهای خاص,سازمان تبلیغات اسلامی,موسسه فرهنگی و اطلاع‌رسانی تبیان,جدول شماره ۱۷ - موسسه فرهنگی و اطلاع‌رسانی تبیان,ردیف شماره 540000 - 3 - 1 - 6 از جدول شماره ۱۷,,1.200,0.000,0.000,1.200,,5
