LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,TOOLTIP,SOURCE,SOURCE URL,SIDEBAR1,SIDEBAR2,SIDEBAR3,1400,MORE INFO,LEVEL
ملی,دستگاه‌های اجرایی,ریاست جمهوری,نهاد ریاست جمهوری,اداره نهاد ریاست‌جمهوری,,نهاد ریاست جمهوری,ردیف شماره ۱۰۱۰۰۰ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,469.00,33.30,0.00,502.30,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,نهاد ریاست جمهوری,مرکز همکاری‌های تحول و پیشرفت,,مرکز همکاری‌های تحول و پیشرفت (کمک),ردیف شماره ۱۰۱۰۰۲ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,132.00,0.40,0.00,132.40,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,نهاد ریاست جمهوری,شورای رقابت,,مرکز ملی رقابت (شورای رقابت),ردیف شماره ۱۰۱۰۶۶ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,13.56,1.70,0.00,15.26,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,نهاد ریاست جمهوری,مرکز بررسی‌های راهبردی,,مرکز بررسی‌های راهبردی,ردیف شماره ۱۰۱۰۶۰ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,12.50,0.00,0.00,12.50,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,نهاد ریاست جمهوری,مرکز امور حقوقی بین‌الملل,,مرکز امور حقوقی بین‌الملل - دعاوی حقوقی بین‌المللی,ردیف شماره ۱۰۱۰۶۲ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,80.00,0.00,0.00,80.00,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,نهاد ریاست جمهوری,کمک به اشخاص,,نهاد ریاست جمهوری - هزینه‌های ضروری - کمک به اشخاص حقیقی و حقوقی خصوصی و دولتی,ردیف شماره ۱۰۱۰۱۲ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,68.00,0.00,0.00,68.00,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,نهاد ریاست جمهوری,,,نهاد ریاست جمهوری,جمع چند ردیف از جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,775.06,35.40,0.00,810.46,,4
ملی,دستگاه‌های اجرایی,ریاست جمهوری,معاونت زنان,,,معاونت امور زنان و خانواده,ردیف شماره ۱۰۱۰۲۴ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,32.50,0.01,0.00,32.51,,4
ملی,دستگاه‌های اجرایی,ریاست جمهوری,معاونت امور مجلس,,,معاونت امور مجلس - راهبری امور مجلس (کمک),ردیف شماره ۱۰۱۰۶۵ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,4.50,0.00,0.00,4.50,,4
ملی,دستگاه‌های اجرایی,ریاست جمهوری,معاونت علمی,معاونت علمی و فناوری رییس‌جمهور,,معاونت علمی و فناوری رییس‌جمهور,ردیف شماره ۱۰۱۰۵۲ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,970.00,1.17,0.00,971.17,,5
