LEVEL1,LEVEL2,LEVEL3,LEVEL4,TOOLTIP,SOURCE,SOURCE URL,SIDEBAR1,SIDEBAR2,SIDEBAR3,1396,MORE INFO,LEVEL
درآمدها,مالیات,مالیات شرکت‌ها,مالیات اشخاص حقوقی,مالیات عالی‌الحساب اشخاص حقوقی,ردیف شماره 110102 از جدول شماره ۵,,"4,724.311",0.000,0.000,"4,724.311",,4
درآمدها,مالیات,مالیات شرکت‌ها,مالیات شرکت‌های دولتی,مالیات عملکرد شرکت‌های دولتی,ردیف شماره 110103 از جدول شماره ۵,,"7,347.171",0.000,0.000,"7,347.171",,4
درآمدها,مالیات,مالیات شرکت‌ها,مالیات‌ نهادها و بنیادها,مالیات‌ نهادها و بنیادهای انقلاب اسلامی,ردیف شماره 110104 از جدول شماره ۵,,68.869,0.000,0.696,69.564,,4
درآمدها,مالیات,مالیات شرکت‌ها,مالیات اشخاص حقوقی غیر دولتی,مالیات اشخاص حقوقی غیر دولتی,ردیف شماره 110105 از جدول شماره ۵,,0.000,"23,725.780",239.654,"23,965.434",,4
درآمدها,مالیات,مالیات شرکت‌ها,,مالیات اشخاص حقوقی,ردیف شماره 110100 از جدول شماره ۵,,"12,140.350","23,725.780",240.350,"36,106.480",,3
درآمدها,مالیات,مالیات بر درآمد,مالیات حقوق کارکنان دولتی,مالیات حقوق کارکنان دولتی و بخش عمومی,ردیف شماره 110201 از جدول شماره ۵,,0.000,"5,500.590",55.562,"5,556.151",,4
درآمدها,مالیات,مالیات بر درآمد,مالیات حقوق کارکنان بخش خصوصی,مالیات حقوق کارکنان بخش خصوصی,ردیف شماره 110202 از جدول شماره ۵,,0.000,"5,320.060",53.738,"5,373.798",,4
درآمدها,مالیات,مالیات بر درآمد,مالیات مشاغل,مالیات مشاغل,ردیف شماره 110203 از جدول شماره ۵,,0.000,"5,365.008",54.192,"5,419.200",,4
درآمدها,مالیات,مالیات بر درآمد,مالیات مستغلات,مالیات مستغلات,ردیف شماره 110204 از جدول شماره ۵,,0.000,928.713,9.381,938.093,,4
درآمدها,مالیات,مالیات بر درآمد,مالیات‌های متفرقه درآمد,مالیات‌های متفرقه درآمد,ردیف شماره 110205 از جدول شماره ۵,,0.000,5.933,0.060,5.992,,4
درآمدها,مالیات,مالیات بر درآمد,معافیت مالیاتی,معافیت مالیاتی (جمعی - خرجی),ردیف شماره 110206 از جدول شماره ۵,,120.000,0.000,0.000,120.000,,4
درآمدها,مالیات,مالیات بر درآمد,,مالیات بر درآمدها,ردیف شماره 110200 از جدول شماره ۵,,120.000,"17,120.303",172.932,"17,413.235",,3
درآمدها,مالیات,مالیات بر ثروت,مالیات بر ارث,مالیات بر ارث,ردیف شماره 110301 از جدول شماره ۵,,0.000,554.826,5.604,560.430,,4
درآمدها,مالیات,مالیات بر ثروت,مالیات‌های اتفاقی,مالیات‌های اتفاقی,ردیف شماره 110302 از جدول شماره ۵,,0.000,6.513,0.066,6.579,,4
درآمدها,مالیات,مالیات بر ثروت,مالیات نقل و انتقال سرقفلی,مالیات نقل و انتقال سرقفلی,ردیف شماره 110303 از جدول شماره ۵,,0.000,822.000,8.303,830.303,,4
درآمدها,مالیات,مالیات بر ثروت,مالیات نقل و انتقال سهام,مالیات نقل و انتقال سهام,ردیف شماره 110304 از جدول شماره ۵,,0.000,653.149,6.598,659.747,,4
درآمدها,مالیات,مالیات بر ثروت,مالیات نقل و انتقالات املاک,مالیات نقل و انتقالات املاک,ردیف شماره 110305 از جدول شماره ۵,,0.000,446.483,4.510,450.993,,4
درآمدها,مالیات,مالیات بر ثروت,حق تمبر,حق تمبر و اوراق بهادار,ردیف شماره 110306 از جدول شماره ۵,,0.000,472.014,4.768,476.782,,4
درآمدها,مالیات,مالیات بر ثروت,,مالیات بر ثروت,ردیف شماره 110300 از جدول شماره ۵,,0.000,"2,954.985",29.848,"2,984.833",,3
درآمدها,مالیات,مالیات بر واردات,حق گمرکی کالاها,حقوق ورودی کالاها (موضوع بند ب ماده ۱۵ آیین‌نامه اجرایی قانون امور گمرکی),ردیف شماره 110401 از جدول شماره ۵,,"13,090.000",0.000,338.150,"13,428.150",,4
درآمدها,مالیات,مالیات بر واردات,حقوق ورودی خودرو,حقوق وردی خودرو,ردیف شماره 110402 از جدول شماره ۵,,"3,217.500",0.000,0.000,"3,217.500",,4
درآمدها,مالیات,مالیات بر واردات,حقوق ورودی دستگاه‌های اجرایی,حقوق ورودی دستگاه‌های اجرایی,ردیف شماره 110403 از جدول شماره ۵,,75.000,0.000,0.000,75.000,,4
درآمدها,مالیات,مالیات بر واردات,نیم درصد عوارض بر واردات,نیم درصد عوارض بر واردات,ردیف شماره 110405 از جدول شماره ۵,,0.000,0.000,150.000,150.000,,4
درآمدها,مالیات,مالیات بر واردات,ثبت معافیت‌ها و تخفیفات گمرکی,ثبت معافیت‌ها و تخفیفات گمرکی,ردیف شماره 110406 از جدول شماره ۵,,600.000,0.000,0.000,600.000,,4
درآمدها,مالیات,مالیات بر واردات,درآمدهای قانون مدیریت حمل و مقل ,حقوق ورودی موضوع ماده ۲ قانون مدیریت حمل و نقل سوخت,ردیف شماره 110408 از جدول شماره ۵,,200.000,0.000,0.000,200.000,,4
درآمدها,مالیات,مالیات بر واردات,استرداد حقوق ورودی,استرداد حقوق ورودی کالاهای وارداتی موضوع بند ب تبصره ۷,ردیف شماره 110409 از جدول شماره ۵,,0.000,0.000,0.000,0.000,,4
درآمدها,مالیات,مالیات بر واردات,,مالیات بر واردات,ردیف شماره 110400 از جدول شماره ۵,,"17,182.500",0.000,488.150,"17,670.650",,3
درآمدها,مالیات,مالیات بر کالا و خدمات,مالیات بنزین,مالیات بر بنزین به میزان ۲۰ درصد قیمت مصوب فروش,ردیف شماره 110501 از جدول شماره ۵,,"4,775.600",0.000,48.238,"4,823.838",,4
درآمدها,مالیات,مالیات بر کالا و خدمات,دو درصد مالیات سایر کالاها,دو درصد مالیات سایر کالاها (معوق),ردیف شماره 110502 از جدول شماره ۵,,0.000,10.000,0.101,10.101,,4
درآمدها,مالیات,مالیات بر کالا و خدمات,عوارض خروج از کشور,عوارض خروج مسافر از مرزهای کشور,ردیف شماره 110504 از جدول شماره ۵,,0.000,380.419,0.000,380.419,,4
درآمدها,مالیات,مالیات بر کالا و خدمات,درآمدهای قانونی (مربوط به شهرداری‌ها),مالیات موضوع تبصره ۳ ماده ۶ قانون تجمیع عوارض و درآمد موضوع تبصره ۱ ماده ۳۹ قانون مالیات بر ارزش افزوده,ردیف شماره 110505 از جدول شماره ۵,,0.000,0.000,614.122,614.122,,4
درآمدها,مالیات,مالیات بر کالا و خدمات,مالیات فروش سیگار,مالیات بر فروش سیگار,ردیف شماره 110506 از جدول شماره ۵,,0.000,462.780,4.675,467.455,,4
درآمدها,مالیات,مالیات بر کالا و خدمات,مالیات نقل و انتقالات اتومبیل,مالیات بر نقل و انتقالات اتومبیل,ردیف شماره 110507 از جدول شماره ۵,,0.000,733.639,7.411,741.050,,4
درآمدها,مالیات,مالیات بر کالا و خدمات,مالیات شماره‌گذاری خودرو,مالیات شماره‌گذاری خودرو,ردیف شماره 110508 از جدول شماره ۵,,0.000,"1,106.144",11.173,"1,117.317",,4
درآمدها,مالیات,مالیات بر کالا و خدمات,مالیات ارزش افزوده,مالیات بر ارزش افزوده,ردیف شماره 110512 از جدول شماره ۵,,0.000,"26,680.000",269.495,"26,949.495",,4
درآمدها,مالیات,مالیات بر کالا و خدمات,یک درصد مالیات ارزش افزوده برای سلامت,درآمد حاصل از یک درصد نرخ مالیات بر ارزش افزوده,ردیف شماره 110513 از جدول شماره ۵,,0.000,"5,340.000",53.939,"5,393.939",,4
درآمدها,مالیات,مالیات بر کالا و خدمات,,مالیات بر کالا و خدمات,ردیف شماره 110500 از جدول شماره ۵,,"4,775.600","34,712.982","1,009.153","40,497.735",,3
درآمدها,مالیات,,,درآمدها مالیاتی,ردیف شماره 110000 از جدول شماره ۵,,"34,218.450","78,514.050","1,940.434","114,672.934",,2
درآمدها,حق بیمه,,,حق بیمه شخص ثالث، سرنشین و مازاد,ردیف شماره 120000 از جدول شماره ۵,,0.000,0.000,"1,500.000","1,500.000",,2
درآمدها,حق مالکیت دولت,سود سهام دولتی,سود سهام شرکت‌های دولتی,سود سهام ابزاری شرکت‌های دولتی,ردیف شماره 130101 از جدول شماره ۵,,"9,443.228",0.000,0.000,"9,443.228",,4
درآمدها,حق مالکیت دولت,سود سهام دولتی,سود سهام معوقه شرکت‌های دولتی,سود سهام معوقه شرکت‌های دولتی,ردیف شماره 130105 از جدول شماره ۵,,"3,556.772",0.000,0.000,"3,556.772",,4
درآمدها,حق مالکیت دولت,سود سهام دولتی,سود سهام شرکت‌های نیمه دولتی,سود سهام شرکت‌های نیمه دولتی (سهم دولتی کمتر از ۵۰درصد),ردیف شماره 130108 از جدول شماره ۵,,500.000,0.000,0.000,500.000,,4
درآمدها,حق مالکیت دولت,سود سهام دولتی,,سود سهام شرکت‌های دولتی,ردیف شماره 130100 از جدول شماره ۵,,"13,500.000",0.000,0.000,"13,500.000",,3
درآمدها,حق مالکیت دولت,درآمد اجاره ,,درآمدهای حاصل از اجاره ساختمان‌ها و اراضی (از جمله امکانات، اماکن و فضاهای آموزشی، فرهنگی، هنری و ورزشی کلیه دستگاه‌های اجرایی) ,ردیف شماره 130300 از جدول شماره ۵,,65.000,14.600,192.700,272.300,,3
درآمدها,حق مالکیت دولت,سایر درآمدهای مالکیتی,حق امتیاز شبکه (ارتباطات و فناوری اطلاعات),حق امتیاز شبکه و جریمه عدم انجام تعهدات (بخش ارتباطات و فناوری اطلاعات),ردیف شماره 130404 از جدول شماره ۵,,"4,400.000",0.000,0.000,"4,400.000",,4
درآمدها,حق مالکیت دولت,سایر درآمدهای مالکیتی,نیم درصد درآمد مشمول مالیات بانک‌های کشور,نیم درصد درآمد مشمول مالیات بانک‌های کشور (موضوع قانون تهیه مسکن برای افراد کم درآمد),ردیف شماره 130405 از جدول شماره ۵,,30.000,0.000,0.000,30.000,,4
درآمدها,حق مالکیت دولت,سایر درآمدهای مالکیتی,بهره مالکانه و حقوق دولتی معادن,درآمد حاصل از بهره مالکانه و حقوق دولتی معادن,ردیف شماره 130408 از جدول شماره ۵,,900.000,0.000,0.000,900.000,,4
درآمدها,حق مالکیت دولت,سایر درآمدهای مالکیتی,درآمد خدمات عمومی اجباری روستایی,درآمد حاصل از خدمات عمومی اجباری روستایی,ردیف شماره 130412 از جدول شماره ۵,,480.000,0.000,0.000,480.000,,4
درآمدها,حق مالکیت دولت,سایر درآمدهای مالکیتی,درآمد نامبرینگ (شماره‌گذاری مخابراتی),درآمد حاصل از نامبرینگ (شماره‌گذاری مخابراتی),ردیف شماره 130413 از جدول شماره ۵,,100.000,0.000,0.000,100.000,,4
درآمدها,حق مالکیت دولت,سایر درآمدهای مالکیتی,درآمد از حق‌السهم سازمان,درآمد حاصل از حق‌السهم سازمان,ردیف شماره 130414 از جدول شماره ۵,,40.000,0.000,0.000,40.000,,4
درآمدها,حق مالکیت دولت,سایر درآمدهای مالکیتی,درآمد فعالیت‌های نظام تایید صلاحیت,درآمد حاصل از فعالیت‌های نظام تایید صلاحیت,ردیف شماره 130415 از جدول شماره ۵,,2.000,0.000,0.000,2.000,,4
درآمدها,حق مالکیت دولت,سایر درآمدهای مالکیتی,درآمد بهره مالکانه طرح‌های جنگلداری,درآمد حاصل از بهره مالکانه طرح‌های جنگلداری و محصولات جنگلی و مرتعی,ردیف شماره 130416 از جدول شماره ۵,,30.000,0.000,0.000,30.000,,4
درآمدها,حق مالکیت دولت,سایر درآمدهای مالکیتی,بدهی معوقه اپراتورهای مخابراتی,بدهی معوقه اپراتورهای مخابراتی,ردیف شماره 130417 از جدول شماره ۵,,700.000,0.000,0.000,700.000,,4
درآمدها,حق مالکیت دولت,سایر درآمدهای مالکیتی,عوارض پروانه اکتشاف معدن,درآمد حاصل از تبصره‌های (۲) و (۳) ماده قانون اصلاح قانون معادن,ردیف شماره 130418 از جدول شماره ۵,,15.000,0.000,0.000,15.000,,4
درآمدها,حق مالکیت دولت,سایر درآمدهای مالکیتی,درآمد حق انتفاع پروانه بهره‌برداری از معادن,درآمد حاصل از حق انتفاع پروانه بهره‌برداری از معادن,ردیف شماره 130419 از جدول شماره ۵,,"1,200.000",0.000,0.000,"1,200.000",,4
درآمدها,حق مالکیت دولت,سایر درآمدهای مالکیتی,درآمد صدور مجوزهای شورای عالی فضای مجازی,درآمد صدور مجوزهای شورای عالی فضای مجازی,ردیف شماره 130420 از جدول شماره ۵,,200.000,0.000,0.000,200.000,,4
درآمدها,حق مالکیت دولت,سایر درآمدهای مالکیتی,حقوق انحصار محصولات دخانی,درآمد وزارت صنعت بابت حقوق انحصار محصولات دخانی,ردیف شماره 130421 از جدول شماره ۵,,200.000,0.000,0.000,200.000,,4
درآمدها,حق مالکیت دولت,سایر درآمدهای مالکیتی,درآمد فروش هولوگرام حامل‌های دیجیتال,درآمد حاصل از فروش هولوگرام حامل‌های دیجیتال,ردیف شماره 130422 از جدول شماره ۵,,4.200,0.000,0.000,4.200,,4
درآمدها,حق مالکیت دولت,سایر درآمدهای مالکیتی,درآمد واگذاری، استخراج و فروش معادن,درآمد حاصل از واگذاری، استخراج و فروش معادن,ردیف شماره 130423 از جدول شماره ۵,,200.000,0.000,0.000,200.000,,4
درآمدها,حق مالکیت دولت,سایر درآمدهای مالکیتی,,سایر درآمدهای مالکیتی,ردیف شماره 130400 از جدول شماره ۵,,"8,501.200",0.000,0.000,"8,501.200",,3
درآمدها,حق مالکیت دولت,,,درآمدهای حاصل از مالکیت دولت ,ردیف شماره 130000 از جدول شماره ۵,,"22,066.200",14.600,192.700,"22,273.500",,2
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد خدمات آموزشی و فرهنگی,درآمد حاصل از خدمات قضایی,ردیف شماره 140101 از جدول شماره ۵,,"3,023.000",96.000,0.000,"3,119.000",,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد خدمات بهداشتی و درمانی,درآمد حاصل از خدمات آموزشی و فرهنگی,ردیف شماره 140103 از جدول شماره ۵,,189.815,0.655,"2,689.479","2,879.949",,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد خدمات کشاورزی، صنعتی و معدنی,درآمد حاصل از خدمات بهداشتی و درمانی,ردیف شماره 140104 از جدول شماره ۵,,80.000,0.000,"26,383.016","26,463.016",,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد مخابراتی,درآمد حاصل از خدمات کشاورزی، صنعتی و معدنی,ردیف شماره 140105 از جدول شماره ۵,,20.000,8.050,102.750,130.800,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد خدمات پژوهشی و تحقیقاتی,درآمد حاصلی از خدمات مخابراتی (حق استفاده از فرکانس رادیویی),ردیف شماره 140106 از جدول شماره ۵,,280.000,0.000,0.000,280.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد خدمات آزمایشگاهی,درآمدهای حاصل از خدمات – درآمد حاصل از خدمات پژوهشی و تحقیقاتی,ردیف شماره 140107 از جدول شماره ۵,,0.000,0.000,"1,155.874","1,155.874",,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد خدمات کنسولی,درآمدهای حاصل از خدمات – درآمد حاصل از خدمات آزمایشگاهی,ردیف شماره 140108 از جدول شماره ۵,,6.000,86.600,14.065,106.665,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد صدور و تمدید گواهینامه هوایی,درآمد حاصل از خدمات کنسولی,ردیف شماره 140109 از جدول شماره ۵,,400.000,0.000,0.000,400.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد خدمات ثبتی,درآمد آزمایش استاندارد و صدور تمدید گواهینامه، اجازه‌نامه و پروانه بهره‌برداری هوایی,ردیف شماره 140110 از جدول شماره ۵,,0.000,0.000,70.000,70.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد خدمات گمرکی,درآمد حاصل از خدمات ثبتی,ردیف شماره 140111 از جدول شماره ۵,,0.250,852.500,617.500,"1,470.250",,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد حاصل از خدمات گمرکی,درآمد حاصل از خدمات گمرکی,ردیف شماره 140112 از جدول شماره ۵,,0.000,120.000,0.000,120.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,صدور و تمدید گذرنامه,درآمد حاصل از اخذ ۶۰۰ هزار ریال بابت صدور، تعویض و تمدید گذرنامه,ردیف شماره 140113 از جدول شماره ۵,,0.000,450.000,0.000,450.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,تعویض پلاک خودرو,درآمد حاصل از واگذاری و تعویض پلاک خودرو و موتور سیکلت,ردیف شماره 140114 از جدول شماره ۵,,370.000,0.000,0.000,370.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,بازارچه‌های مشترک مرزی,درآمد حاصل از ارائه خدمات و اجازه استفاده از امکانات بازارچه‌های مشترک مرزی,ردیف شماره 140115 از جدول شماره ۵,,0.000,15.000,0.000,15.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد خدمات الکترونیکی,درآمد حاصل از ارائه خدمات الکترونیکی,ردیف شماره 140116 از جدول شماره ۵,,220.000,0.000,0.000,220.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد هنرستان‌های فنی و حرفه‌ای,درآمد حاصل از هنرستان‌های فنی و حرفه‌ای,ردیف شماره 140117 از جدول شماره ۵,,0.000,0.000,45.000,45.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمدهای قانونی (مربوط به آموزش و پروش),درآمد حاصل از بند ۲ ماده ۱۳ و مواد ۱۶ و ۱۸ قانون تشکیل شوراهای آموزش و پرورش,ردیف شماره 140118 از جدول شماره ۵,,0.000,0.000,200.000,200.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمدهای قانونی (مربوط به طرح جامع و حریم شهرها),درآمد موضوع ماده ۹۹ قانون شهرداری‌ها,ردیف شماره 140119 از جدول شماره ۵,,0.000,6.000,0.000,6.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,فروش سایر خدمات,درآمد حاصل از فروش سایر خدمات,ردیف شماره 140120 از جدول شماره ۵,,121.850,43.000,"1,047.123","1,211.973",,4
درآمدها,فروش کالا و خدمات,فروش خدمات,حق‌ ثبت دارو,درآمدحق‌ ثبت، دارو یا مواد اولیه آن,ردیف شماره 140121 از جدول شماره ۵,,0.000,0.000,35.000,35.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد ثبت بین‌المللی مالکیت صنعتی,درآمد حاصل از ثبت بین‌المللی مالکیت صنعتی,ردیف شماره 140123 از جدول شماره ۵,,5.000,0.000,0.000,5.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد تبدیل اسناد به میکروفیلم,درآمد حاصل از تبدیل اسناد به میکروفیلم,ردیف شماره 140124 از جدول شماره ۵,,0.000,0.000,0.100,0.100,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد ورودی موزه‌ها,درآمد حاصل از ورودی موزه‌ها,ردیف شماره 140125 از جدول شماره ۵,,35.515,65.000,0.000,100.515,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد تعویض سندهای مالکیت,درآمد حاصل از تعویض سندهای مالکیت,ردیف شماره 140141 از جدول شماره ۵,,200.000,0.000,0.000,200.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد صدور گواهی الکترونیکی,درآمد حاصل از صدور گواهی الکترونیکی,ردیف شماره 140142 از جدول شماره ۵,,1.500,0.000,0.000,1.500,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد ارائه خدمات به موسسات برقی,درآمد موضوع تبصره ماده ۸ قانون برق,ردیف شماره 140144 از جدول شماره ۵,,75.000,0.000,0.000,75.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد مراکز آموزشی و رفاهی,درآمدهای حاصل از خدمات درآمد حاصل از مراکز آموزشی و رفاهی,ردیف شماره 140145 از جدول شماره ۵,,0.000,0.000,252.040,252.040,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد خدمات کارشناسی,درآمد کارشناسی رسیدگی به شکایات مناقصات و هزینه تشخیص صلاحیت فنی، اجرایی,ردیف شماره 140146 از جدول شماره ۵,,10.000,0.000,0.000,10.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد جذب هیات علمی دانشگاه‌ها,درآمد حاصل از جذب و گزینش اعضای هیئت علمی دانشگاه‌ها و موسسات آموزش عالی,ردیف شماره 140147 از جدول شماره ۵,,0.000,0.000,2.000,2.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد صدور کارت هوشمند ملی,درآمد حاصل از ثبت‌نام و صدور کارت هوشمند ملی,ردیف شماره 140149 از جدول شماره ۵,,400.000,0.000,0.000,400.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد هوشمندسازی گواهینامه رانندگی,درآمد هوشمندسازی گواهینامه رانندگی,ردیف شماره 140151 از جدول شماره ۵,,0.000,160.000,0.000,160.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,جریمه دیرکرد تعویض گواهینامه,درآمد حاصل از تعویق در تعویض گواهینامه,ردیف شماره 140152 از جدول شماره ۵,,0.000,20.000,0.000,20.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد انگشت‌نگاری,درآمد حاصل از انگشت‌نگاری,ردیف شماره 140154 از جدول شماره ۵,,0.000,30.000,0.000,30.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد صدور کارت معافیت سربازی,درآمد صدور کارت معافیت دائم مشمولان وظیفه از خدمت سربازی,ردیف شماره 140155 از جدول شماره ۵,,0.000,46.500,0.000,46.500,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد خدمات سواد آموزی,درآمد حاصل از خدمات نهضت سواد آموزی شامل کمک‌های بین المللی، اجاره ساختمان‌ها و سایر خدمات آموزشی، پرورشی رایانه‌ای و فروش نشریات,ردیف شماره 140156 از جدول شماره ۵,,0.000,0.000,1.400,1.400,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد خدمات انتظامی,درآمد حاصل از خدمات انتظامی,ردیف شماره 140157 از جدول شماره ۵,,0.000,114.200,0.000,114.200,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد دانشگاه‌های افسری,درآمد حاصل از جذب و استخدام داوطلبان دانشگاه‌های افسری آجا,ردیف شماره 140158 از جدول شماره ۵,,0.000,0.000,3.000,3.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,سایر خدمات آموزشی,درآمد حاصل از سایر خدمات آموزشی (شامل درآمد اختصاصی مربوط به اخذ وجوه مرتبط به هزینه‌های ثبت‌نام داوطلبان متفرقه امتحانات – آزمون‌های متفرقه و صدور تاییدیه تحصیلی – ارائه خدمات آموزشی، پرورشی، رایانه‌ای و فروش نشریات وزارت آموزش و پرورش و درآمد اختصاصی سازمان‌های مدیریت و برنامه‌ریزی استان‌ها، مرکز آموزش مدیریت دولتی – همچنین درآمد خدمات آموزشی سازمان امور دانشجویان بابت خرید تعهدات آموزش رایگان، خرید تعهدات مستنکفین بورس و ارز بگیران، ارزشیابی مدارک تحصیلی، اخذ هزینه‌های ثبت‌نام آزمون‌های زبان خارجی و اعزام به خارج و فروش انتشارات، هزینه‌های ثبت‌نام در سامانه‌ها),ردیف شماره 140159 از جدول شماره ۵,,0.000,0.000,263.600,263.600,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد خدمات استانداردسازی,درآمد حاصل از خدمات استانداردسازی,ردیف شماره 140160 از جدول شماره ۵,,0.100,460.000,0.000,460.100,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد خدمات مشاوره‌ای دوره‌های فنی و حرفه‌ای,درآمد خدمات مشاوره‌ای به متقاضیان دوره‌های آموزشی فنی و حرفه‌ای,ردیف شماره 140161 از جدول شماره ۵,,6.000,0.000,0.000,6.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد خدمات تجارت الکترونیکی,درآمد حاصل از خدمات تجارت الکترونیکی,ردیف شماره 140162 از جدول شماره ۵,,0.500,0.000,0.000,0.500,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد هوشمند‌سازی کارت خودرو,درآمد حاصل از هوشمند‌سازی کارت مشخصات خودرو,ردیف شماره 140163 از جدول شماره ۵,,100.000,0.000,0.000,100.000,,4
