LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,TOOLTIP,SOURCE,SOURCE URL,SIDEBAR1,SIDEBAR2,SIDEBAR3,1399,MORE INFO,LEVEL
درآمدها,مالیات,مالیات شرکت‌ها,مالیات اشخاص حقوقی,,,مالیات علی‌الحساب اشخاص حقوقی دولتی - وصول ماهانه یک دوازدهم رقم,ردیف شماره ۱۱۰۱۰۲ از جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2019/12/Bill99-00.pdf,"5,788.13",0,0,"5,788.13",,4
درآمدها,مالیات,مالیات شرکت‌ها,مالیات شرکت‌های دولتی,,,مالیات عملکرد شرکت‌های دولتی,ردیف شماره ۱۱۰۱۰۳ از جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2019/12/Bill99-00.pdf,"6,942.30",0,0,"6,942.30",,4
درآمدها,مالیات,مالیات شرکت‌ها,مالیات‌ نهادها و بنیادها,,,مالیات نهادها و بنیادهای انقلاب اسلامی,ردیف شماره ۱۱۰۱۰۴ از جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2019/12/Bill99-00.pdf,16.5,0,0.167,16.667,,4
درآمدها,مالیات,مالیات شرکت‌ها,مالیات اشخاص حقوقی غیر دولتی,,,مالیات اشخاص حقوقی غیر دولتی,ردیف شماره ۱۱۰۱۰۵ از جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2019/12/Bill99-00.pdf,0,"31,165.00",314.798,"31,479.80",,4
درآمدها,مالیات,مالیات شرکت‌ها,مالیات آستان قدس,,,مالیات شرکت‌هاو موسسات وابسته به آستان قدس رضوی,ردیف شماره ۱۱۰۱۱۱ از جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2019/12/Bill99-00.pdf,0,0,0,0,,4
درآمدها,مالیات,مالیات شرکت‌ها,مالیات بنگاه‌های اقتصادی نیروهای مسلح و ستاد اجرایی فرمان امام,,,مالیات بنگاه‌های اقتصادی زیر مجموعه نیروهای مسلح و ستاد اجرایی فرمان حضرت امام (ره),ردیف شماره ۱۱۰۱۱۲ از جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2019/12/Bill99-00.pdf,0,0,0,0,,4
درآمدها,مالیات,مالیات شرکت‌ها,,,,مالیات اشخاص حقوقی,ردیف شماره ۱۱۰۱۰۰ از جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2019/12/Bill99-00.pdf,"12,746.94","31,165.00",314.965,"44,226.90",,3
درآمدها,مالیات,مالیات بر درآمد,مالیات حقوق کارکنان دولتی,,,مالیات حقوق کارکنان بخش عمومی,ردیف شماره ۱۱۰۲۰۱ از جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2019/12/Bill99-00.pdf,0,"7,300.44",73.742,"7,374.18",,4
درآمدها,مالیات,مالیات بر درآمد,مالیات حقوق کارکنان بخش خصوصی,,,مالیات حقوق کارکنان بخش خصوصی,ردیف شماره ۱۱۰۲۰۲ از جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2019/12/Bill99-00.pdf,0,"8,319.57",84.036,"8,403.60",,4
درآمدها,مالیات,مالیات بر درآمد,مالیات مشاغل,,,مالیات مشاغل,ردیف شماره ۱۱۰۲۰۳ از جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2019/12/Bill99-00.pdf,0,"14,784.76",149.341,"14,934.10",,4
درآمدها,مالیات,مالیات بر درآمد,مالیات مستغلات,,,مالیات مستغلات,ردیف شماره ۱۱۰۲۰۴ از جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2019/12/Bill99-00.pdf,0,"1,604.80",16.21,"1,621.01",,4
درآمدها,مالیات,مالیات بر درآمد,مالیات‌های متفرقه درآمد,,,مالیاتهای متفرقه درآمد,ردیف شماره ۱۱۰۲۰۵ از جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2019/12/Bill99-00.pdf,0,9,0.091,9.091,,4
