LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,TOOLTIP,SOURCE,SOURCE URL,SIDEBAR1,SIDEBAR2,SIDEBAR3,1401,MORE INFO,LEVEL
درآمدها,مالیات,مالیات شرکت‌ها,مالیات اشخاص حقوقی,,مالیات علی الحساب اشخاص حقوقی دولتی  -  وصول ماهانه یک دوازدهم رقم,ردیف شماره 110102جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,"11,609.286",0.000,0.000,"11,609.286",,4
درآمدها,مالیات,مالیات شرکت‌ها,مالیات شرکت‌های دولتی,,مالیات عملکرد شرکت‌های دولتی,ردیف شماره 110103جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,"7,500.000",0.000,0.000,"7,500.000",,4
درآمدها,مالیات,مالیات شرکت‌ها,مالیات‌ نهادها و بنیادها,,مالیات بنگاه‌های اقتصادی، نهادها و بنیادهای انقلاب اسلامی,ردیف شماره 110104جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,"1,500.000",0.000,15.152,"1,515.152",,4
درآمدها,مالیات,مالیات شرکت‌ها,مالیات اشخاص حقوقی غیر دولتی,,مالیات اشخاص حقوقی غیر دولتی,ردیف شماره 110105جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,0.000,"112,088.414","1,142.307","113,230.721",,4
درآمدها,مالیات,مالیات شرکت‌ها,مالیات آستان قدس,,مالیات شرکت‌هاو موسسات وابسته به آستان قدس رضوی (جمعی - خرجی) ,ردیف شماره 110111جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,90.000,0.000,0.909,90.909,,4
درآمدها,مالیات,مالیات شرکت‌ها,مالیات نیروهای مسلح و ستاد اجرایی فرمان امام,,مالیات موضوع ماده ۷۸ قانون الحاق برخی مواد به قانون تنظیم بخشی از مقررات مالی دولت (۲),ردیف شماره 110112جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,840.000,0.000,8.485,848.485,,4
درآمدها,مالیات,مالیات شرکت‌ها,,,بند اول: مالیات اشخاص حقوقی,ردیف شماره 110100جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,"21,539.286","112,088.414","1,166.853","134,794.553",,3
درآمدها,مالیات,مالیات بر درآمد,مالیات حقوق کارکنان دولتی,,مالیات حقوق کارکنان بخش عمومی,ردیف شماره 110201جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,0.000,"24,300.000",245.455,"24,545.455",,4
درآمدها,مالیات,مالیات بر درآمد,مالیات حقوق کارکنان بخش خصوصی,,مالیات حقوق کارکنان بخش خصوصی,ردیف شماره 110202جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,0.000,"23,400.000",236.364,"23,636.364",,4
درآمدها,مالیات,مالیات بر درآمد,مالیات مشاغل,,مالیات مشاغل,ردیف شماره 110203جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,0.000,"33,500.000",338.384,"33,838.384",,4
درآمدها,مالیات,مالیات بر درآمد,مالیات مستغلات,,مالیات مستغلات,ردیف شماره 110204جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,0.000,"2,800.000",28.283,"2,828.283",,4
درآمدها,مالیات,مالیات بر درآمد,مالیات‌های متفرقه درآمد,,مالیاتهای متفرقه درآمد,ردیف شماره 110205جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,0.000,10.000,0.101,10.101,,4
