Classification Code,Title,General - National,General - Provincial,General - Total,Dedicated - National,Dedicated - Provincial,Dedicated - Total,Grand Total - National,Grand Total - Provincial,Grand Total
10000.0,Revenues,9784578177.0,14679971823.0,24464550000,4157661049.0,117008951.0,4274670000,13942239226,14796980774,28739220000
11000.0,Taxes,6445961000.0,14394039000.0,20840000000,286965178.0,0.0,286965178,6732926178,14394039000,21126965178
110101.0,بند اول مالیات اشخاص حقوقی,1765281000.0,6333520000.0,8098801000,67707049.0,0.0,67707049,1832988049,6333520000,8166508049
110102.0,مالیات علی الحساب اشخاص حقوقی دولتی وصول ماهانه یک دوازدهم رقم,374345109.0,0.0,374345109,0.0,0.0,0,374345109,0,374345109
110103.0,مالیات عملکرد شرکتهای دولتی,570000000.0,0.0,570000000,0.0,0.0,0,570000000,0,570000000
110104.0,مالیات بنگاههای اقتصادی، نهادها و بنیادهای انقلاب اسلامی,30000000.0,,30000000,303030.0,,303030,30303030,0,30303030
110105.0,مالیات اشخاص حقوقی غیردولتی,255935891.0,6333520000.0,6589455891,67162100.0,0.0,67162100,323097991,6333520000,6656617991
110106.0,مالیات حاصل از درآمد اتاقهای ؟؟؟ از سود نگهداری وجد اشخاص,5000000.0,,5000000,50000.0,0.0,50000,5050000,0,5050000
110111.0,مالیات شرکت ها و  موسسات وابسته به آستان قدس رضوی,6000000.0,0.0,6000000,60606.0,0.0,60606,6060606,0,6060606
110112.0,درآمد حاصل از مالیات پرداخت استان قدس رضوی و غیره,13000000.0,,13000000,131313.0,0.0,131313,13131313,0,13131313
110115.0,مالیات بر درآمد حاصل از فعالیت های تولیدی و معدنی,350000000.0,0.0,350000000,0.0,0.0,0,350000000,0,350000000
110116.0,درآمد حاصل از صادرات مواد خام و محصولات معدنی و صنایع معدنی فلزی و غیرهفلزی و محصولات نفی کازی و پتروشیمی,160000000.0,0.0,160000000,0.0,0.0,0,160000000,0,160000000
110117.0,اوراق تسویه خزانه و ارواق اسلامی,1000000.0,0.0,1000000,0.0,0.0,0,1000000,0,1000000
110200.0,بند دوم مالیات بر درآمدها,0.0,3191330993.0,3191330993,32235668.0,0.0,32235668,32235668,3191330993,3223566661
110201.0,مالیات حقوق کارکنان بخش عمومی,0.0,650000000.0,650000000,6565657.0,0.0,6565657,6565657,650000000,656565657
110202.0,مالیات حقوق کارکنان بخش خصوصی,0.0,1150000000.0,1150000000,11616162.0,0.0,11616162,11616162,1150000000,1161616162
,,,,0,,,0,0,0,0
,,,,0,,,0,0,0,0
