3.620,"ياههاگدرين تباب درين ترا د تادهعت تخادرپ اب
تخوس حم ا )يتلدد د يصوصخ( يبيكرت کيس
اههاگدرين",12,,
104.596,يتفن ياههدردآرف عي وت د قن د مح هنيزه,13,"شخپ
د شيلااپ
شخپ
ياههدردآرف
يتفن",
20.000,"طوطخ هکبش ي اسون د تشادهگن ،هعسوت ضراوع
ياههدردآرف د ي اگ تاناعيم ،ماخ تفن لاقتنا هلول
د يتفن ياههدردآرف ياهرابنا د تالللسيلللسأت ،يتفن
)رفص تايلام يتابساحم خرن اب( يتلدد ياههاگشيلااپ",14,,
37.686,"تفن يلم تكرش )%14/5( دصردمين د هدراهچ مهس
اهيميشدرتپ ي اگ تاناعيم کاروخ ا ناريا",15,تفن,
53.820,"تفن يلم تكرش )%14/5( دصردمين د هدراهچ مهس
يتفن ياههدردآرف يلخاد ادرف حم ا ناريا",16,,
128.760,"تفن يلم تكرش )%14/5( دصردمين د هدراهچ مهس
يتفن ياههدردآرف تارداص حم ا ناريا",17,,
128.296,يعيبط اگ ادرف د عي وت ،لاقتنا ،ديلوت ياههنيزه,18,اگ,
13.008,"قاحلا نوناق )65( هدام دولللعوم ينالللسر اگ ضراوع
تلدد يلام تاررقم ا يشخب ميظنت نوناق هب داوم يخرب
يلم تكرش )%50( يدصردهاجنپ مهس - اگ ا )2(
ناريا اگ",19,,
179,"يخرب قاحلا نوناق )65( هدام دوعوم يناسر اگ ضراوع
-)2( تلدد يلام تاررقم ا يللشخب ميظنت نوناق هب داوم
يلم تكرش )%50( يدصردهاجنپ مهس اههاگدرين تخوس
ناريا اگ",20,,
225.030,"ا قرب ديرخ د ادرف ،عي وت د لاقتنا ،ديلوت هنيزه
يصوصخ شخب ياههاگدرين",21,قرب,
30.900,آ ادرف د عي وت ،لاقتنا ،ديلوت هنيزه,22,آ,
986.997,اهيتخادرپ عمج,,,
يدنمفده فراصم,,,"صم
را
ف
ه
د
مف
دن
ي",
428.000,اهراوناخ يدقنريغ د يدقن هناراي تخادرپ,23,,
155.500,"هتيمك تيامح تحت ياهراوناخ قلطم رقف شهاك
دون قادح يتسيزهب نام اس د )هر( ينيمخ ماما دادما
هدناميقاب د فيدر نيا رابتعا )%95( دلللصرد جنپ د
يارجا ،نلاولعم قوقح ا تيامح نوناق يارجا يارب
يارجا د نلاولعم قوقح ا تيامح نوناق )6( هدام
هب يناللسرتامدخ عماج نوناق )38( هدام يل هرللصبت
نارگراثيا",24,,
52.000,"ا يللشخب ميظنت نوناق هب داوم يخرب قاحلا نوناق )46( هدام
ميقتسم ياههنيزه شهاك دوعوم )2( تلدد يلام تاررقم
تامدخ هب مدرم هنلاداع يللسرتللسد داجيا ،مدرم تم للس
ريذپان محت ياههنيزه نيمأت هب كمك ،ينامرد د يتللشادهب
ج علابعص د صاخ ناراميب نامرد ،دراد ششوپ ،نامرد",25,,
